freq,psd_x,psd_y,psd_z,psd_xyz
179.1,1.238e+03,1.867e+04,1.024e+02,2.002e+04
180.8,1.375e+03,1.959e+04,9.644e+01,2.106e+04
182.5,1.323e+03,2.244e+04,9.253e+01,2.385e+04
184.2,1.417e+03,2.293e+04,8.210e+01,2.443e+04
185.9,1.657e+03,2.172e+04,1.048e+02,2.348e+04
187.6,1.629e+03,2.151e+04,2.083e+02,2.335e+04
189.3,1.633e+03,2.204e+04,3.377e+02,2.401e+04
191.1,1.406e+03,2.250e+04,4.514e+02,2.435e+04
192.8,1.229e+03,2.240e+04,5.355e+02,2.417e+04
194.5,1.233e+03,2.312e+04,5.762e+02,2.493e+04
196.2,1.376e+03,2.458e+04,5.780e+02,2.653e+04
197.9,1.464e+03,2.740e+04,6.363e+02,2.950e+04
199.6,1.319e+03,3.123e+04,7.802e+02,3.333e+04
